course,title,year,sem,campus,track,level,credits,desc
GELT002,Seminar for Experience of Global Culture and Entrepreneurship,2025,Spring,Suwon,Others,BS,1,
GELT002,Seminar for Experience of Global Culture and Entrepreneurship,2025,Spring,Seoul,Others,BS,1,
GELT002,Seminar for Experience of Global Culture and Entrepreneurship,2025,Autumn,Suwon,Others,BS,1,
GELT002,Seminar for Experience of Global Culture and Entrepreneurship,2025,Autumn,Seoul,Others,BS,1,
GELT093,Korean Language and Culture,2025,Spirng,Suwon,Others,BS,2,
GELT093,Korean Language and Culture,2025,Autumn,Suwon,Others,BS,2,
SUP5006,Mathematics for Machine Learning,2025,Spring,Suwon,Math,MS,3,
SUP5013,Algorithm Design,2025,Spring,Suwon,ML,MS,3,
BUS3037,Marketing Intelligence,2025,Spring,Online,Others,BS,3,
BIZ3025,Consumer Neuroscience and Implications for AI,2025,Spring,Seoul,Others,BS,3,
BUS3045,Business Analytics and Applications,2025,Spring,Seoul,Others,BS,3,
BUS3045,Business Analytics and Applications,2025,Autumn,Seoul,Others,BS,3,
BUS3049,Platform Business in Digital Economy,2025,Spring,Seoul,Others,BS,3,
BUS3049,Platform Business in Digital Economy,2025,Autumn,Seoul,Others,BS,3,
BUS3053,Digital Marketing Strategy,2025,Spring,Seoul,Others,BS,3,
COM2021,Digital Video Processing,2025,Spring,Seoul,IFI,BS,3,
COM3004,Computer Architecture,2025,Spirng,Seoul,IFI,BS,3,
COM3022,Artificial Intelligence,2025,Spring,Seoul,IFI,BS,3,
COM3039,Computer Graphics,2025,Spirng,Seoul,IFI,BS,3,
CSE3036,Seminar in Computer Engineering,2025,Spring,Suwon,IFI,BS,1,
CSE3036,Seminar in Computer Engineering,2025,Autumn,Suwon,IFI,BS,1,
COS2044,History of Korean Philosophy,2025,Spring,Seoul,Others,BS,3,
CON2036,Introduction to FinTech,2025,Spring,Seoul,Others,BS,3,
CNT2005,Content Planning & Development,2025,Spring,Seoul,DBI,BS,3,"Content includes VR, AR, and more."
CNT2019,Global Cultural Exchange,2025,Spring,Seoul,DBI,BS,3,
CNT2020,Cultural Industry and Data Analysis,2025,Spring,Seoul,DBI,BS,3,
CNT2024,Korean Cinema in the World,2025,Spirng,Seoul,DBI,BS,3,
CNT3065,Understanding K-content as a Business Enabler,2025,Spirng,Seoul,DBI,BS,3,
DASF003,Computer Programming for Engineers,2025,Spring,Suwon,IFI,BS,3,
DASF003,Computer Programming for Engineers,2025,Autumn,Suwon,IFI,BS,3,
DASF004,Basis and Practice in Programming,2025,Spring,Suwon,IFI,BS,3,
DASF004,Basis and Practice in Programming,2025,Autumn,Suwon,IFI,BS,3,
DSC2005,Data Science and R,2025,Spring,Seoul,IFI,BS,3,
DSC2019,Numerical Methods for Data Analysis,2025,Spring,Seoul,IFI,BS,3,
DSC2020,Introduction to Statistics and Probability,2025,Spring,Seoul,IFI,BS,3,
DSC3021,Introduction to Artificial Intelligence,2025,Spring,Seoul,IFI,BS,3,
DSC3032,Deep Learning 1: Foundations and Image Processing,2025,Spring,Seoul,IFI,BS,3,
SWE2001,System Program,2025,Spring,Suwon,IFI,BS,3,
SWE2001,System Program,2025,Autumn,Suwon,IFI,BS,3,
SWE2003,Automata,2025,Spring,Suwon,IFI,BS,3,
SWE2015,Data Structures,2025,Spring,Suwon,IFI,BS,3,
SWE2015,Data Structures,2025,Autumn,Suwon,IFI,BS,3,
SWE2021,Open Source Software Practice,2025,Spring,Suwon,IFI,BS,2,
SWE2021,Open Source Software Practice,2025,Autumn,Suwon,IFI,BS,2,
SWE2023,JAVA Programming Lab,2025,Spring,Seoul,IFI,BS,2,
SWE2023,JAVA Programming Lab,2025,Autumn,Seoul,IFI,BS,2,
SWE2024,System Programming Lab,2025,Spring,Suwon,IFI,BS,2,
SWE3002,Introduction to Software Engineering,2025,Spring,Suwon,IFI,BS,3,
SWE3002,Introduction to Software Engineering,2025,Autumn,Suwon,IFI,BS,3,
SWE3004,Operating Systems,2025,Spring,Suwon,IFI,BS,3,
SWE3005,Introduction to Computer Architectures,2025,Spring,Suwon,IFI,BS,3,
SWE3005,Introduction to Computer Architectures,2025,Autumn,Suwon,IFI,BS,3,
SWE3006,Programming Languages,2025,Spring,Suwon,IFI,BS,3,
SWE3006,Programming Languages,2025,Autumn,Suwon,IFI,BS,3,
SWE3008,Introduction to Computer Graphics,2025,Spring,Suwon,IFI,BS,3,
SWE3011,Introduction to Artificial Intelligence,2025,Spring,Suwon,IFI,BS,3,
SWE3011,Introduction to Artificial Intelligence,2025,Autumn,Suwon,IFI,BS,3,
SWE3022,Computer Networks,2025,Spring,Suwon,IFI,BS,3,
SWE3022,Computer Networks,2025,Autumn,Suwon,IFI,BS,3,
SWE3023,Special Topics in Software 1,2025,Spring,Suwon,IFI,BS,3,
SWE3025,Computer Security,2025,Spring,Suwon,IFI,BS,3,
SWE3025,Computer Security,2025,Autumn,Suwon,IFI,BS,3,
SWE3026,Probability and Random Process,2025,Spring,Suwon,IFI,BS,3,
SWE3026,Probability and Random Process,2025,Autumn,Suwon,IFI,BS,3,
SWE3028,Capstone Design Project,2025,Spring,Suwon,IFI,BS,3,
SWE3028,Capstone Design Project,2025,Autumn,Suwon,IFI,BS,3,
SWE3047,Mobile App Programming Lab,2025,Spring,Suwon,IFI,BS,2,
SWE3047,Mobile App Programming Lab,2025,Autumn,Suwon,IFI,BS,2,
SWE3050,Fundamentals of Machine Learning,2025,Spring,Suwon,IFI,BS,3,
SWE3050,Fundamentals of Machine Learning,2025,Autumn,Suwon,IFI,BS,3,
SWE3052,Introduction to Deep Neural Networks,2025,Spring,Suwon,IFI,BS,3,
SWE3052,Introduction to Deep Neural Networks,2025,Autumn,Suwon,IFI,BS,3,
DES2007,The Study of Color,2025,Spring,Seoul,DBI,BS,3,
DES2015,Photo Studio,2025,Spring,Seoul,DBI,BS,3,
DES2021,Digital Design Studio 1,2025,Spring,Seoul,DBI,BS,3,
DES2034,Basic Typography,2025,Spring,Seoul,DBI,BS,3,
DES3012,Package Design 1,2025,Spring,Seoul,DBI,BS,3,
DES3027,Design Workshop 2,2025,Spring,Seoul,DBI,BS,3,
ECO5109,Advanced Health Economics,2025,Spring,Seoul,Others,BS,3,
STA2016,Introduction to statistical programming,2025,Spring,Seoul,Math,BS,3,
STA3003,Introduction to Statistical Inferences,2025,Spring,Seoul,Math,BS,3,
GEDB001,Calculus 1,2025,Spring,Suwon,Math,BS,3,
GEDB001,Calculus 1,2025,Autumn,Suwon,Math,BS,3,
GEDB002,Calculus 2,2025,Spring,Suwon,Math,BS,3,
GEDB002,Calculus 2,2025,Autumn,Suwon,Math,BS,3,
GEDB003,Linear Algebra,2025,Spring,Suwon,Math,BS,3,
GEDB003,Linear Algebra,2025,Autumn,Suwon,Math,BS,3,
GEDB004,Engineering Mathematics 1,2025,Spring,Suwon,Math,BS,3,
GEDB007,Discrete Mathematics,2025,Spring,Suwon,Math,BS,3,
GEDB007,Discrete Mathematics,2025,Autumn,Suwon,Math,BS,3,
GEDH103,Climate Change and the Humanities,2025,Spring,Seoul,Others,BS,3,
GEDH111,The Philosophy of Korean Popular Culture,2025,Spring,Seoul,Others,BS,3,
GEDN009,The Philosophy of Technology,2025,Spring,Seoul,Others,BS,3,
GEDN044,Quanta in Everyday Life,2025,Spring,Suwon,Others,BS,3,
GEDN055,Mathematical modeling for sustainability,2025,Spring,Suwon,Others,BS,3,
GEDN055,Mathematical modeling for sustainability,2025,Autumn,Suwon,Others,BS,3,
GEDS024,Engineering Economy,2025,Spring,Suwon,Others,BS,3,
